# timestamps [seconds],pts
10979.947065,0
10979.962050,981
10979.983656,2397
10980.047011,6549
10980.091078,9437
10980.112806,10861
10980.161268,14037
10980.179579,15237
10980.202162,16717
10980.281782,21935
10980.328108,24971
10980.339216,25699
10980.358412,26957
10980.425703,31367
10980.448042,32831
10980.492323,35733
10980.521650,37655
10980.619887,44093
10980.620711,44147
10980.638197,45293
10980.653273,46281
10980.664290,47003
10980.694166,48961
10980.749403,52581
10980.793989,55503
10980.807387,56381
10980.827864,57723
10980.872053,60619
10980.916945,63561
10980.979109,67634
10981.006117,69404
10981.035109,71304
10981.062117,73074
10981.096022,75296
10981.140455,78208
10981.185408,81154
10981.207594,82608
10981.252241,85534
10981.281874,87476
10981.374647,93556
10981.375715,93626
10981.419722,96510
10981.442091,97976
10981.486921,100914
10981.509016,102362
10981.556410,105468
10981.576124,106760
10981.620436,109664
10981.684126,113838
10981.712660,115708
10981.723860,116442
10981.777235,119940
10981.822554,122910
10981.844160,124326
10981.888533,127234
10981.914992,128968
10981.955641,131631
10981.978315,133117
10982.055525,138177
10982.088637,140347
10982.112410,141905
10982.135420,143413
10982.178816,146257
10982.224257,149235
10982.246992,150725
10982.290693,153589
10982.318739,155427
10982.398848,160677
10982.412062,161543
10982.425001,162391
10982.491926,166777
10982.514540,168259
10982.558729,171155
10982.589766,173189
10982.626326,175585
10982.649367,177095
10982.731215,182459
10982.747358,183517
10982.764296,184627
10982.787306,186135
10982.849196,190191
10982.894423,193155
10982.916609,194609
10982.939406,196103
10982.984968,199088
10983.005842,200456
10983.084913,205638
10983.119551,207908
10983.134688,208900
10983.146528,209676
10983.162214,210704
10983.207075,213644
10983.251936,216584
10983.273939,218026
10983.318648,220956
10983.340651,222398
10983.421461,227694
10983.438765,228828
10983.454085,229832
10983.466017,230614
10983.497389,232670
10983.553175,236326
10983.587202,238556
10983.609144,239994
10983.653608,242908
10983.675825,244364
10983.720534,247294
10983.784956,251516
10983.831526,254568
10983.843489,255352
10983.856367,256196
10983.922285,260516
10983.945906,262064
10983.988844,264877
10984.011488,266361
10984.055586,269251
10984.078016,270721
10984.156508,275865
10984.205610,279083
10984.223128,280231
10984.245863,281721
10984.290907,284673
10984.319502,286547
10984.357802,289057
10984.379988,290511
10984.424177,293407
